iter	Accuracy	MultiClass
0	0.4723376833	1.097366858
1	0.4841296928	1.096216789
2	0.5005767358	1.09477247
3	0.5061172735	1.093459548
4	0.514623745	1.092129781
5	0.5142496969	1.090974086
6	0.5183986013	1.089830847
7	0.5117597795	1.088667898
8	0.5144979164	1.087439519
9	0.5127073908	1.086290279
10	0.5099388371	1.085095508
11	0.5126959636	1.084082359
12	0.5180585451	1.082838618
13	0.5204614891	1.081665562
14	0.5213749637	1.080497553
15	0.5204841986	1.079583779
16	0.5222895818	1.078346503
17	0.5175004187	1.077423998
18	0.5194020602	1.07649001
19	0.521900973	1.07537134
20	0.5242037939	1.07440545
21	0.523952144	1.073203189
22	0.5235181163	1.072168779
23	0.5271684395	1.071123965
24	0.5208252535	1.070409375
25	0.5236799267	1.069317161
26	0.524104959	1.068391016
27	0.5239949866	1.067329502
28	0.5266888479	1.066249029
29	0.5255691424	1.065492407
30	0.526461051	1.06463079
31	0.5348792609	1.063701657
32	0.5367480541	1.063091631
33	0.536898727	1.062101024
34	0.5348804044	1.061356625
35	0.5334784875	1.060786746
36	0.5293270065	1.060138626
37	0.5280577716	1.059406875
38	0.5328266569	1.058706171
39	0.5286143424	1.057887318
40	0.5299391353	1.057213765
41	0.5282902871	1.056506505
42	0.5267694023	1.055876478
43	0.5312106571	1.055121885
44	0.5309273022	1.054290691
45	0.5358935677	1.05351705
46	0.5319496058	1.052805698
47	0.5348371274	1.051991606
48	0.5327632469	1.05120054
49	0.5337729799	1.050493012
50	0.5310905457	1.049788541
51	0.5320548597	1.049046371
52	0.5383787665	1.048246506
53	0.5332732553	1.04753622
54	0.533826251	1.046782933
55	0.538464886	1.046050891
56	0.5401818628	1.045327704
57	0.5383232086	1.044665394
58	0.5358368663	1.044020744
59	0.5367831894	1.043386657
60	0.5380625632	1.042699695
61	0.5386926829	1.042207882
62	0.5407665635	1.041521576
