iter	Passed	Remaining
0	24	24629
1	36	18392
2	45	15099
3	54	13535
4	62	12511
5	71	11764
6	79	11278
7	87	10825
8	96	10581
9	103	10295
10	112	10075
11	120	9886
12	128	9735
13	135	9576
14	143	9433
15	152	9356
16	162	9373
17	170	9311
18	178	9231
19	186	9134
20	195	9102
21	202	9021
22	213	9049
23	221	8991
24	230	8997
25	240	9013
26	248	8971
27	258	8960
28	267	8941
29	275	8900
30	283	8858
31	292	8846
32	300	8813
33	308	8777
34	316	8734
35	324	8693
36	332	8658
37	340	8628
38	348	8588
39	356	8557
40	364	8536
41	373	8517
42	381	8484
43	389	8468
44	397	8440
45	406	8426
46	414	8403
47	422	8377
48	430	8347
49	437	8321
50	446	8314
51	454	8292
52	462	8268
53	470	8250
54	479	8236
55	487	8225
56	495	8202
57	503	8179
58	511	8161
59	519	8143
60	528	8129
61	536	8112
62	544	8092
